[15, 'true', True, False]
[2432, 'true', True, False]
[2449, 'true', True, False]
[2452, True, True, True]
[2459, True, True, True]
[2467, True, True, True]
[2473, True, True, True]
[2475, True, True, True]
[2478, True, False, False]
[2483, True, True, True]
[2487, True, True, True]
[2489, True, True, True]
[2491, True, True, True]
[2494, True, True, True]
[2496, True, True, True]
[2548, 'true', False, False]
[2551, True, True, True]
[2552, True, True, True]
[2554, True, True, True]
[2555, True, True, True]
[2558, True, True, True]
[2559, True, True, True]
[2561, True, True, True]
[2563, True, True, True]
[2564, True, True, True]
[2567, True, True, True]
[2568, True, True, True]
[2570, 'true', True, False]
[2572, True, True, True]
[2573, 'true', True, False]
[2576, True, True, True]
[2578, 'true', True, False]
[2579, True, True, True]
[2582, True, True, True]
[2584, True, True, True]
[2585, True, True, True]
[2588, True, True, True]
[2613, True, True, True]
[2614, True, True, True]
[2615, False, True, False]
[2616, True, True, True]
[2619, 'true', False, False]
[2620, True, True, True]
[2621, 'true', True, False]
[2622, True, True, True]
[2665, True, False, False]
[2666, True, True, True]
[2667, True, True, True]
[2695, True, True, True]
[2696, True, True, True]
[2697, True, True, True]
[2698, 'true', True, False]
[2699, True, True, True]
[2700, True, True, True]
[2701, True, True, True]
[2702, True, True, True]
[2703, True, True, True]
[2704, True, True, True]
[2710, True, True, True]
[2711, True, True, True]
[2712, 'true', True, False]
[2713, True, True, True]
[2714, 'false', True, False]
[2715, True, True, True]
[2716, True, True, True]
[2717, True, True, True]
[2718, True, True, True]
[2719, True, True, True]
[2720, True, False, False]
[2754, 'true', True, False]
[2755, True, True, True]
[2759, True, True, True]
[2760, True, True, True]
[2761, True, True, True]
[2765, True, True, True]
[2766, True, True, True]
[2767, True, True, True]
[2783, 'true', True, False]
[2784, True, True, True]
[2791, True, True, True]
[2797, True, False, False]
[2798, True, True, True]
[2842, True, True, True]
[2852, True, True, True]
[2853, True, True, True]
[2854, True, True, True]
[2855, False, True, False]
[2856, False, True, False]
[2858, True, True, True]
[3003, True, True, True]
[3004, True, True, True]
[3005, True, True, True]
[3006, 'true', True, False]
[3007, True, True, True]
[3008, True, True, True]
[3032, True, True, True]
[3035, True, True, True]
[3038, 'true', True, False]
[3040, True, True, True]
[3044, 'true', True, False]
[3045, 'true', True, False]
[3047, True, True, True]
[3048, True, True, True]
[3051, True, True, True]
[3052, 'true', True, False]
[3053, True, True, True]
[3054, True, True, True]
[3055, True, True, True]
[3056, 'false', True, False]
[3057, 'true', True, False]
[3059, True, True, True]
[3062, 'true', True, False]
[3151, False, True, False]
[3285, True, True, True]
[3387, True, True, True]
[3395, 'true', True, False]
[3396, False, True, False]
[3397, 'true', True, False]
[3411, 'true', True, False]
[3414, True, True, True]
[3415, True, True, True]
[3416, True, True, True]
[3418, False, True, False]
[3425, True, True, True]
[3433, True, True, True]
[3436, 'false', True, False]
[3441, True, True, True]
[3444, True, True, True]
[3448, 'true', True, False]
[3450, True, True, True]
[3452, 'true', True, False]
[3455, True, True, True]
[3460, True, True, True]
[3462, True, True, True]
[3465, True, True, True]
[3509, False, True, False]
[3510, True, True, True]
[3512, True, False, False]
[3516, True, True, True]
[3522, True, True, True]
[3534, True, True, True]
[3536, 'true', True, False]
[3537, True, True, True]
[3540, True, True, True]
[3546, True, True, True]
[3549, 'false', True, False]
[3558, True, True, True]
[3561, True, True, True]
[3569, True, True, True]
[3572, True, True, True]
[3577, True, True, True]
[3579, True, True, True]
[3581, 'true', True, False]
[3584, 'true', True, False]
[3586, 'true', True, False]
[3587, True, True, True]
[3588, True, True, True]
[3590, True, True, True]
[3593, True, True, True]
[3594, True, True, True]
[3597, 'true', False, False]
[3599, True, True, True]
[3600, True, True, True]
[3605, True, True, True]
[3606, True, True, True]
[3608, 'true', True, False]
[3674, True, False, False]
[3675, 'false', True, False]
[3677, 'true', True, False]
[3678, True, True, True]
[3679, True, True, True]
[3704, 'true', True, False]
[3705, True, True, True]
[3707, True, True, True]
[3843, True, True, True]
[3973, 'true', True, False]
[3974, True, True, True]
[3975, True, True, True]
[3976, True, True, True]
[3978, True, True, True]
[3979, 'false', True, False]
[3980, True, True, True]
[3981, 'false', True, False]
[3983, True, True, True]
[4035, 'false', False, False]
[4044, True, True, True]
[4045, True, True, True]
[4046, True, True, True]
[4048, 'true', True, False]
[4049, True, True, True]
[4050, True, True, True]
[4051, True, True, True]
[4052, 'true', True, False]
[4053, False, True, False]
[4054, True, True, True]
[4055, True, True, True]
[4056, True, True, True]
[4057, True, True, True]
[4059, True, True, True]
[4060, True, True, True]
[4061, True, True, True]
[4062, True, True, True]
[4063, True, True, True]
[4064, True, True, True]
[4065, True, True, True]
[4066, True, True, True]
[4067, True, True, True]
[4068, False, True, False]
[4069, True, True, True]
[4070, True, True, True]
[4071, 'true', True, False]
[4072, True, True, True]
[4073, True, True, True]
[4074, True, True, True]
[4075, True, True, True]
[4076, True, True, True]
[4077, True, True, True]
[4078, True, True, True]
[4079, 'true', True, False]
[4080, True, True, True]
[4081, True, True, True]
[4083, 'true', True, False]
[4085, 'true', True, False]
[4086, True, True, True]
[4087, 'true', True, False]
[4088, True, True, True]
[4089, 'false', True, False]
[4091, True, True, True]
[4176, True, True, True]
[4177, True, True, True]
[4214, 'true', True, False]
[4215, 'true', True, False]
[4222, True, True, True]
[4225, True, True, True]
[4227, True, True, True]
[4228, True, True, True]
[4229, True, True, True]
[4231, True, True, True]
[4267, 'true', True, False]
[4360, True, True, True]
[4454, 'true', True, False]
[4455, True, True, True]
[4456, True, False, False]
[4457, 'true', True, False]
[4458, 'false', True, False]
[4464, True, True, True]
[4473, 'true', False, False]
[4486, True, True, True]
[4077, False, True, False]
[4487, True, True, True]
[4492, False, True, False]
[4493, 'true', True, False]
[4494, True, True, True]
[4495, False, True, False]
[4496, False, True, False]
[4497, True, True, True]
[4498, True, True, True]
[4499, True, True, True]
[4500, True, True, True]
[4501, True, True, True]
[4506, 'false', True, False]
[4507, True, True, True]
[4508, 'false', True, False]
[4521, 'true', True, False]
[4522, True, True, True]
[4523, False, True, False]
[4527, False, True, False]
[4528, True, True, True]
[4532, 'false', True, False]
[4533, 'true', True, False]
[4537, False, True, False]
[4546, True, True, True]
[4547, True, True, True]
[4548, False, True, False]
[4580, True, False, False]
